ID,TDU,REP,PRODUCT,KWH500,KWH1000,KWH2000,RATE_TYPE,TERM_LENGTH,RENEWABLE,PREPAID,TOU,PROMOTION,EFL_URL
59,AEP TEXAS CENTRAL DIVISION,TEXPO ENERGY,AutoPay E-Plan,13.7,10.8,10.4,Fixed,12,12,FALSE,FALSE,FALSE,http://www.texpoenergy.com/Docs/texpo-efl-fixed-12-nongreen.pdf
60,AEP TEXAS CENTRAL DIVISION,TEXPO ENERGY,Clear Blue Skies AutoPay E-Plan,14.2,11.3,10.9,Fixed,12,100,FALSE,FALSE,FALSE,http://www.texpoenergy.com/Docs/texpo-efl-fixed-12-green.pdf
62,AEP TEXAS CENTRAL DIVISION,TXU ENERGY,TXU Energy MarketEdge ,13.8,12.4,11.7,Indexed,0,6,FALSE,FALSE,FALSE,http://www.txu.com/~/media/Files/Marketing/Residential/EFLs/TCXMKTEDNS00AE_ENG.pdf
66,AEP TEXAS CENTRAL DIVISION,YEP,Autopay E-Plan ,12.4,9.5,9.1,Fixed,12,12,FALSE,FALSE,FALSE,http://www.yeptexas.com/Docs/yep-efl-fixed-12-nongreen.pdf
68,AEP TEXAS CENTRAL DIVISION,YEP,AutoPay E-Plan,10.9,8,7.6,Variable,1,12,FALSE,FALSE,FALSE,https://www.yeptexas.com/Docs/yep-efl-flex-pr-nongreen.pdf
69,AEP TEXAS CENTRAL DIVISION,YEP,Green Earth Autopay E-plan ,12.8,9.9,9.5,Fixed,12,100,FALSE,FALSE,FALSE,http://www.yeptexas.com/Docs/yep-efl-fixed-12-green.pdf
159,AEP TEXAS CENTRAL DIVISION,BRILLIANT ENERGY LLC, Brilliant Freedom 36 Month,15.1,12,11.6,Fixed,36,11,FALSE,FALSE,FALSE,https://www.mybrilliantenergy.com/agreements/efl/BF/36/P0000/EN
525,AEP TEXAS CENTRAL DIVISION,AMBIT ENERGY,Texas Select Variable Plan,13.5,12.8,12.4,Variable,0,9,FALSE,FALSE,FALSE,https://mediaserver.ambitenergy.com/media/get/TSVPRNG0_509_288_1
531,AEP TEXAS CENTRAL DIVISION,AMBIT ENERGY,Certified Green Texas Variable Plan,13.7,13,12.6,Variable,0,100,FALSE,FALSE,FALSE,https://mediaserver.ambitenergy.com/media/get/CGTVPRNG0_508_288_1
568,AEP TEXAS CENTRAL DIVISION,JUST ENERGY,RateShield 60,12.2,11.5,11.2,Fixed,60,11,FALSE,FALSE,FALSE,http://bit.ly/2lX3kzQ
618,AEP TEXAS CENTRAL DIVISION,NEC Co-op Energy,Residential Electricity... Plain and simple.,15.6,13.9,13.1,Variable,0,6,FALSE,FALSE,FALSE,https://neccoopenergy.com/residential-service/residential-prices/aep-residential-prices-fact-sheet/
893,AEP TEXAS CENTRAL DIVISION,AMBIT ENERGY,Lone Star Select-1 Year Term ,12.6,10.4,10.3,Fixed,12,9,FALSE,FALSE,FALSE,https://mediaserver.ambitenergy.com/media/get/LSS1YTRNG12_18_288_1
960,AEP TEXAS CENTRAL DIVISION,YEP,Autopay E-Plan ,11.8,8.9,8.5,Fixed,3,12,FALSE,FALSE,FALSE,http://www.yeptexas.com/Docs/yep-efl-fixed-3-nongreen.pdf
910,AEP TEXAS CENTRAL DIVISION,AMIGO ENERGY,Amigo Essentials 18 Month,13,8.8,8.7,Fixed,18,11,FALSE,FALSE,FALSE,https://webs.amigoenergy.com/EFLPDFs/AMI_Res_EFL_F27331_3698739.pdf
971,AEP TEXAS CENTRAL DIVISION,YEP,Autopay E-Plan ,12.5,9.6,9.2,Fixed,6,12,FALSE,FALSE,FALSE,http://www.yeptexas.com/Docs/yep-efl-fixed-6-nongreen.pdf
977,AEP TEXAS CENTRAL DIVISION,YEP,Autopay E-Plan ,12.5,9.6,9.2,Fixed,9,12,FALSE,FALSE,FALSE,http://www.yeptexas.com/Docs/yep-efl-fixed-9-nongreen.pdf
1005,AEP TEXAS CENTRAL DIVISION,AMBIT ENERGY,Lone Star Select-6 Month Term,13.1,10.9,10.8,Fixed,6,9,FALSE,FALSE,FALSE,https://mediaserver.ambitenergy.com/media/get/LSS6MTRNG6_19_288_1
1133,AEP TEXAS CENTRAL DIVISION,AMBIT ENERGY,Ambit Certified Green-1 Year Term ,12.8,10.6,10.5,Fixed,12,100,FALSE,FALSE,FALSE,https://mediaserver.ambitenergy.com/media/get/ACG1YTRG12_1_288_1
1306,AEP TEXAS CENTRAL DIVISION,SOUTHWEST POWER & LIGHT,Spirit Of Texas AutoPay E-Plan,12.3,9.4,9,Fixed,12,12,FALSE,FALSE,FALSE,http://www.southwestpl.com/Docs/swpl-efl-fixed-12-nongreen.pdf
1311,AEP TEXAS CENTRAL DIVISION,SOUTHWEST POWER & LIGHT,Healthy Heart Of Texas AutoPay E-Plan,12.7,9.8,9.4,Fixed,12,100,FALSE,FALSE,FALSE,http://www.southwestpl.com/Docs/swpl-efl-fixed-12-green.pdf
